Zipcode,City,State,Available,ZipType
90001,LOS ANGELES,CA,STANDARD,1
90002,LOS ANGELES,CA,STANDARD,1
90003,LOS ANGELES,CA,STANDARD,1
90004,LOS ANGELES,CA,STANDARD,1
90005,LOS ANGELES,CA,STANDARD,1
90006,LOS ANGELES,CA,STANDARD,1
90007,LOS ANGELES,CA,STANDARD,1
90008,LOS ANGELES,CA,STANDARD,1
90009,LOS ANGELES,CA,STANDARD,1
90010,LOS ANGELES,CA,STANDARD,1
90011,LOS ANGELES,CA,STANDARD,1
90012,LOS ANGELES,CA,STANDARD,1
90013,LOS ANGELES,CA,STANDARD,1
90014,LOS ANGELES,CA,STANDARD,1
90015,LOS ANGELES,CA,STANDARD,1
90016,LOS ANGELES,CA,STANDARD,1
90017,LOS ANGELES,CA,STANDARD,1
90018,LOS ANGELES,CA,STANDARD,1
90019,LOS ANGELES,CA,STANDARD,1
90020,LOS ANGELES,CA,STANDARD,1
90021,LOS ANGELES,CA,STANDARD,1
90022,LOS ANGELES,CA,STANDARD,1
90023,LOS ANGELES,CA,STANDARD,1
90024,LOS ANGELES,CA,STANDARD,1
90025,LOS ANGELES,CA,STANDARD,1
90026,LOS ANGELES,CA,STANDARD,1
90027,LOS ANGELES,CA,STANDARD,1
90028,LOS ANGELES,CA,STANDARD,1
90029,LOS ANGELES,CA,STANDARD,1
90030,LOS ANGELES,CA,STANDARD,1
90031,LOS ANGELES,CA,STANDARD,1
90032,LOS ANGELES,CA,STANDARD,1
90033,LOS ANGELES,CA,STANDARD,1
90034,LOS ANGELES,CA,STANDARD,1
90035,LOS ANGELES,CA,STANDARD,1
90036,LOS ANGELES,CA,STANDARD,1
90037,LOS ANGELES,CA,STANDARD,1
90038,LOS ANGELES,CA,STANDARD,1
90039,LOS ANGELES,CA,STANDARD,1
90040,LOS ANGELES,CA,STANDARD,1
90041,LOS ANGELES,CA,STANDARD,1
90042,LOS ANGELES,CA,STANDARD,1
90043,LOS ANGELES,CA,STANDARD,1
90044,LOS ANGELES,CA,STANDARD,1
90045,LOS ANGELES,CA,STANDARD,1
90046,LOS ANGELES,CA,STANDARD,1
90047,LOS ANGELES,CA,STANDARD,1
90048,LOS ANGELES,CA,STANDARD,1
90049,LOS ANGELES,CA,STANDARD,1
