BreedName,Status,Pet
Springer Spaniel Mix,Active,Dog
Springer Spaniel Welsh,Active,Dog
St. Bernard,Active,Dog
Staffordshire Terrier,Active,Dog
Terrier Mix,Active,Dog
Terrier Mix ,Active,Dog
Tibetan Spaniel,Active,Dog
Tibetan Terrier,Active,Dog
Vizsla,Active,Dog
Weimaraner,Active,Dog
Welsh Terrier,Active,Dog
West Highland Terrier (Westie),Active,Dog
Wheaton Terrier,Active,Dog
Whippet,Active,Dog
Wire Fox Terrier,Active,Dog
Wire Hair Terrier,Active,Dog
Yorkshire Terrier,Active,Dog
